Longitude Latitude Value
61.389088 24.107232 0.552457
61.418660 24.107232 0.555039
61.448231 24.107232 0.557794
61.477802 24.107232 0.559831
61.507373 24.107232 0.561937
61.536944 24.107232 0.564371
61.566516 24.107232 0.566833
61.596087 24.107232 0.569551
61.625658 24.107232 0.571912
60.176668 24.113376 0.451031
60.206239 24.113376 0.454166
60.235810 24.113376 0.457794
60.265382 24.113376 0.461364
60.294953 24.113376 0.464972
60.324524 24.113376 0.468648
60.354095 24.113376 0.472313
60.383667 24.113376 0.476532
60.413238 24.113376 0.477213
60.442809 24.113376 0.478299
60.472380 24.113376 0.479994
60.501951 24.113376 0.481464
60.531523 24.113376 0.483511
60.561094 24.113376 0.486119
60.590665 24.113376 0.488079
60.620236 24.113376 0.490804
60.649808 24.113376 0.493798
60.679379 24.113376 0.496075
60.708950 24.113376 0.499428
60.738521 24.113376 0.502636
60.768093 24.113376 0.505151
60.797664 24.113376 0.507506
60.827235 24.113376 0.509665
60.856806 24.113376 0.511563
60.886377 24.113376 0.512718
60.915949 24.113376 0.515620
60.945520 24.113376 0.517886
60.975091 24.113376 0.520269
61.004662 24.113376 0.522900
61.034234 24.113376 0.525211
61.063805 24.113376 0.528350
61.093376 24.113376 0.532137
61.122947 24.113376 0.536089
61.152518 24.113376 0.537661
61.182090 24.113376 0.538485
61.211661 24.113376 0.539750
61.241232 24.113376 0.541182
61.270803 24.113376 0.542606
61.300375 24.113376 0.545079
61.329946 24.113376 0.546988
61.359517 24.113376 0.548526
61.389088 24.113376 0.550770
61.418660 24.113376 0.553387
61.448231 24.113376 0.556189
61.477802 24.113376 0.558220
61.507373 24.113376 0.560431
61.536944 24.113376 0.562654
61.566516 24.113376 0.565122
61.596087 24.113376 0.567888
61.625658 24.113376 0.570256
61.655229 24.113376 0.572448
61.684801 24.113376 0.574932
60.117526 24.119519 0.443970
60.147097 24.119519 0.446676
60.176668 24.119519 0.449868
60.206239 24.119519 0.453259
60.235810 24.119519 0.456698
60.265382 24.119519 0.460235
60.294953 24.119519 0.463832
60.324524 24.119519 0.467269
60.354095 24.119519 0.471167
60.383667 24.119519 0.474999
60.413238 24.119519 0.475823
60.442809 24.119519 0.476912
60.472380 24.119519 0.478552
60.501951 24.119519 0.480130
60.531523 24.119519 0.482183
60.561094 24.119519 0.484757
60.590665 24.119519 0.486577
60.620236 24.119519 0.489014
60.649808 24.119519 0.492119
60.679379 24.119519 0.494426
60.708950 24.119519 0.497768
60.738521 24.119519 0.501042
60.768093 24.119519 0.503677
60.797664 24.119519 0.505888
60.827235 24.119519 0.507921
60.856806 24.119519 0.509725
60.886377 24.119519 0.511523
60.915949 24.119519 0.514063
60.945520 24.119519 0.516322
60.975091 24.119519 0.518622
61.004662 24.119519 0.520904
61.034234 24.119519 0.523390
61.063805 24.119519 0.526638
61.093376 24.119519 0.530466
61.122947 24.119519 0.534685
61.152518 24.119519 0.536164
61.182090 24.119519 0.536744
61.211661 24.119519 0.537757
61.241232 24.119519 0.539255
61.270803 24.119519 0.540916
61.300375 24.119519 0.543401
61.329946 24.119519 0.544958
61.359517 24.119519 0.546581
61.389088 24.119519 0.549079
61.418660 24.119519 0.551759
61.448231 24.119519 0.554523
61.477802 24.119519 0.556605
61.507373 24.119519 0.558481
61.536944 24.119519 0.560925
61.566516 24.119519 0.563550
61.596087 24.119519 0.566196
61.625658 24.119519 0.568608
61.655229 24.119519 0.570889
61.684801 24.119519 0.573263
61.714372 24.119519 0.575697
61.743943 24.119519 0.578147
61.773514 24.119519 0.581047
60.087954 24.125663 0.441905
60.117526 24.125663 0.443119
60.147097 24.125663 0.445974
60.176668 24.125663 0.448969
60.206239 24.125663 0.452275
60.235810 24.125663 0.455593
60.265382 24.125663 0.459251
60.294953 24.125663 0.462697
60.324524 24.125663 0.466180
60.354095 24.125663 0.470251
60.383667 24.125663 0.473511
60.413238 24.125663 0.474526
